FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 GÁS DE CIDADE E DE COQUERIA ,0,0,1981
 COQUE DE CARVÃO MINERAL ,0,191,1981
 URÂNIO CONTIDO NO UO2,0,0,1981
 ELETRICIDADE,0,0,1981
 CARVÃO VEGETAL ,0,0,1981
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1981
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,61,1981
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,98,1981
 ALCATRÃO ,0,0,1981
 ENERGIA SECUNDÁRIA TOTAL ,0,1530,1981
 TOTAL  ,76726,51118,1981
 PETRÓLEO ,9256,44311,1980
 GÁS NATURAL ,2189,0,1980
 CARVÃO VAPOR ,1493,0,1980
 CARVÃO METALÚRGICO ,991,3340,1980
 URÂNIO U3O8 ,0,0,1980
 ENERGIA HIDRÁULICA ,11086,0,1980
 LENHA ,31083,0,1980
 PRODUTOS DA CANA ,9301,0,1980
 OUTRAS FONTES PRIMÁRIAS ,1010,0,1980
 ENERGIA PRIMÁRIA TOTAL ,66409,47651,1980
 ÓLEO DIESEL ,0,581,1980
 ÓLEO COMBUSTIVEL ,0,1133,1980
 GASOLINA ,0,80,1980
 GLP ,0,144,1980
 NAFTA ,0,1,1980
 QUEROSENE ,0,0,1980
 GÁS DE CIDADE E DE COQUERIA ,0,0,1980
 COQUE DE CARVÃO MINERAL ,0,363,1980
 URÂNIO CONTIDO NO UO2,0,0,1980
 ELETRICIDADE,0,0,1980
 CARVÃO VEGETAL ,0,0,1980
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1980
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,123,1980
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,237,1980
 ALCATRÃO ,0,0,1980
 ENERGIA SECUNDÁRIA TOTAL ,0,2662,1980
 TOTAL  ,66409,50313,1980
 PETRÓLEO ,8419,51000,1979
 GÁS NATURAL ,1885,0,1979
 CARVÃO VAPOR ,1404,0,1979
 CARVÃO METALÚRGICO ,923,3146,1979
 URÂNIO U3O8 ,0,0,1979
 ENERGIA HIDRÁULICA ,10026,0,1979
 LENHA ,30375,0,1979
 PRODUTOS DA CANA ,8254,0,1979
 OUTRAS FONTES PRIMÁRIAS ,822,0,1979
 ENERGIA PRIMÁRIA TOTAL ,62107,54146,1979
 ÓLEO DIESEL ,0,141,1979
 ÓLEO COMBUSTIVEL ,0,227,1979
 GASOLINA ,0,126,1979
 GLP ,0,85,1979
 NAFTA ,0,1,1979
 QUEROSENE ,0,0,1979
 GÁS DE CIDADE E DE COQUERIA ,0,0,1979
 COQUE DE CARVÃO MINERAL ,0,226,1979
 URÂNIO CONTIDO NO UO2,0,0,1979
 ELETRICIDADE,0,7,1979
 CARVÃO VEGETAL ,0,0,1979
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1979
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,135,1979
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,280,1979
 ALCATRÃO ,0,0,1979
 ENERGIA SECUNDÁRIA TOTAL ,0,1229,1979
 TOTAL  ,62107,55375,1979
 PETRÓLEO ,8154,45811,1978
 GÁS NATURAL ,1919,0,1978
 CARVÃO VAPOR ,1250,0,1978
 CARVÃO METALÚRGICO ,845,2624,1978
 URÂNIO U3O8 ,0,0,1978
 ENERGIA HIDRÁULICA ,8836,0,1978
 LENHA ,29794,0,1978
 PRODUTOS DA CANA ,7322,0,1978
 OUTRAS FONTES PRIMÁRIAS ,561,0,1978
 ENERGIA PRIMÁRIA TOTAL ,58681,48434,1978
 ÓLEO DIESEL ,0,74,1978
 ÓLEO COMBUSTIVEL ,0,165,1978
 GASOLINA ,0,73,1978
 GLP ,0,71,1978
 NAFTA ,0,0,1978
 QUEROSENE ,0,5,1978
 GÁS DE CIDADE E DE COQUERIA ,0,0,1978
 COQUE DE CARVÃO MINERAL ,0,331,1978
 URÂNIO CONTIDO NO UO2,0,0,1978
 ELETRICIDADE,0,5,1978
 CARVÃO VEGETAL ,0,0,1978
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1978
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,120,1978
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,332,1978
 ALCATRÃO ,0,0,1978
 ENERGIA SECUNDÁRIA TOTAL ,0,1176,1978
 TOTAL  ,58681,49611,1978
 PETRÓLEO ,8177,41477,1977
 GÁS NATURAL ,1795,0,1977
 CARVÃO VAPOR ,1095,0,1977
 CARVÃO METALÚRGICO ,769,2829,1977
 URÂNIO U3O8 ,0,0,1977
 ENERGIA HIDRÁULICA ,8039,0,1977
 LENHA ,30822,0,1977
 PRODUTOS DA CANA ,6539,0,1977
 OUTRAS FONTES PRIMÁRIAS ,470,0,1977
 ENERGIA PRIMÁRIA TOTAL ,57707,44306,1977
 ÓLEO DIESEL ,0,65,1977
 ÓLEO COMBUSTIVEL ,0,537,1977
 GASOLINA ,0,74,1977
 GLP ,0,191,1977
 NAFTA ,0,0,1977
 QUEROSENE ,0,0,1977
 GÁS DE CIDADE E DE COQUERIA ,0,0,1977
 COQUE DE CARVÃO MINERAL ,0,101,1977
 URÂNIO CONTIDO NO UO2,0,0,1977
 ELETRICIDADE,0,2,1977
 CARVÃO VEGETAL ,0,0,1977
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1977
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1977
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,307,1977
 ALCATRÃO ,0,0,1977
 ENERGIA SECUNDÁRIA TOTAL ,0,1276,1977
 TOTAL  ,57707,45582,1977
 PETRÓLEO ,8473,41767,1976
 GÁS NATURAL ,1630,0,1976
 CARVÃO VAPOR ,951,0,1976
 CARVÃO METALÚRGICO ,643,2192,1976
 URÂNIO U3O8 ,0,0,1976
 ENERGIA HIDRÁULICA ,7131,0,1976
 LENHA ,31882,0,1976
 PRODUTOS DA CANA ,4748,0,1976
 OUTRAS FONTES PRIMÁRIAS ,412,0,1976
 ENERGIA PRIMÁRIA TOTAL ,55869,43960,1976
 ÓLEO DIESEL ,0,153,1976
 ÓLEO COMBUSTIVEL ,0,766,1976
 GASOLINA ,0,83,1976
 GLP ,0,152,1976
 NAFTA ,0,0,1976
 QUEROSENE ,0,0,1976
 GÁS DE CIDADE E DE COQUERIA ,0,0,1976
 COQUE DE CARVÃO MINERAL ,0,85,1976
 URÂNIO CONTIDO NO UO2,0,0,1976
 ELETRICIDADE,0,6,1976
 CARVÃO VEGETAL ,0,0,1976
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1976
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1976
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,378,1976
 ALCATRÃO ,0,0,1976
 ENERGIA SECUNDÁRIA TOTAL ,0,1624,1976
 TOTAL  ,55869,45584,1976
 PETRÓLEO ,8727,36528,1975
 GÁS NATURAL ,1613,0,1975
 CARVÃO VAPOR ,743,0,1975
 CARVÃO METALÚRGICO ,558,2066,1975
 URÂNIO U3O8 ,0,0,1975
 ENERGIA HIDRÁULICA ,6217,0,1975
 LENHA ,33154,0,1975
 PRODUTOS DA CANA ,4180,0,1975
 OUTRAS FONTES PRIMÁRIAS ,363,0,1975
 ENERGIA PRIMÁRIA TOTAL ,55554,38594,1975
 ÓLEO DIESEL ,0,86,1975
 ÓLEO COMBUSTIVEL ,0,23,1975
 GASOLINA ,0,66,1975
 GLP ,0,34,1975
 NAFTA ,0,0,1975
 QUEROSENE ,0,0,1975
 GÁS DE CIDADE E DE COQUERIA ,0,0,1975
 COQUE DE CARVÃO MINERAL ,0,120,1975
 URÂNIO CONTIDO NO UO2,0,0,1975
 ELETRICIDADE,0,7,1975
 CARVÃO VEGETAL ,0,0,1975
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1975
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1975
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,313,1975
 ALCATRÃO ,0,0,1975
 ENERGIA SECUNDÁRIA TOTAL ,0,648,1975
 TOTAL  ,55554,39243,1975
 PETRÓLEO ,8969,35077,1974
 GÁS NATURAL ,1477,0,1974
 CARVÃO VAPOR ,830,0,1974
 CARVÃO METALÚRGICO ,730,1291,1974
 URÂNIO U3O8 ,0,0,1974
 ENERGIA HIDRÁULICA ,5648,0,1974
 LENHA ,32599,0,1974
 PRODUTOS DA CANA ,4619,0,1974
 OUTRAS FONTES PRIMÁRIAS ,349,0,1974
 ENERGIA PRIMÁRIA TOTAL ,55221,36368,1974
 ÓLEO DIESEL ,0,60,1974
 ÓLEO COMBUSTIVEL ,0,69,1974
 GASOLINA ,0,619,1974
 GLP ,0,243,1974
 NAFTA ,0,0,1974
 QUEROSENE ,0,0,1974
 GÁS DE CIDADE E DE COQUERIA ,0,0,1974
 COQUE DE CARVÃO MINERAL ,0,143,1974
 URÂNIO CONTIDO NO UO2,0,0,1974
 ELETRICIDADE,0,5,1974
 CARVÃO VEGETAL ,0,0,1974
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1974
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1974
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,529,1974
 ALCATRÃO ,0,0,1974
 ENERGIA SECUNDÁRIA TOTAL ,0,1668,1974
 TOTAL  ,55221,38036,1974
 PETRÓLEO ,8453,35000,1973
 GÁS NATURAL ,1171,0,1973
 CARVÃO VAPOR ,600,0,1973
 CARVÃO METALÚRGICO ,529,1317,1973
 URÂNIO U3O8 ,0,0,1973
 ENERGIA HIDRÁULICA ,4979,0,1973
 LENHA ,31897,0,1973
 PRODUTOS DA CANA ,4644,0,1973
 OUTRAS FONTES PRIMÁRIAS ,311,0,1973
 ENERGIA PRIMÁRIA TOTAL ,52585,36317,1973
 ÓLEO DIESEL ,0,214,1973
 ÓLEO COMBUSTIVEL ,0,339,1973
 GASOLINA ,0,320,1973
 GLP ,0,182,1973
 NAFTA ,0,0,1973
 QUEROSENE ,0,46,1973
 GÁS DE CIDADE E DE COQUERIA ,0,0,1973
 COQUE DE CARVÃO MINERAL ,0,96,1973
 URÂNIO CONTIDO NO UO2,0,0,1973
 ELETRICIDADE,0,1,1973
 CARVÃO VEGETAL ,0,0,1973
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1973
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1973
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,471,1973
 ALCATRÃO ,0,0,1973
 ENERGIA SECUNDÁRIA TOTAL ,0,1669,1973
 TOTAL  ,52585,37985,1973
 PETRÓLEO ,8313,25706,1972
 GÁS NATURAL ,1232,0,1972
 CARVÃO VAPOR ,657,0,1972
 CARVÃO METALÚRGICO ,537,1374,1972
 URÂNIO U3O8 ,0,0,1972
 ENERGIA HIDRÁULICA ,4359,0,1972
 LENHA ,32143,0,1972
 PRODUTOS DA CANA ,4298,0,1972
 OUTRAS FONTES PRIMÁRIAS ,301,0,1972
 ENERGIA PRIMÁRIA TOTAL ,51841,27080,1972
 ÓLEO DIESEL ,0,0,1972
 ÓLEO COMBUSTIVEL ,0,80,1972
 GASOLINA ,0,136,1972
 GLP ,0,458,1972
 NAFTA ,0,0,1972
 QUEROSENE ,0,25,1972
 GÁS DE CIDADE E DE COQUERIA ,0,0,1972
 COQUE DE CARVÃO MINERAL ,0,127,1972
 URÂNIO CONTIDO NO UO2,0,0,1972
 ELETRICIDADE,0,0,1972
 CARVÃO VEGETAL ,0,0,1972
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1972
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1972
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,471,1972
 ALCATRÃO ,0,0,1972
 ENERGIA SECUNDÁRIA TOTAL ,0,1296,1972
 TOTAL  ,51841,28376,1972
 PETRÓLEO ,8521,20435,1971
 GÁS NATURAL ,1169,0,1971
 CARVÃO VAPOR ,654,0,1971
 CARVÃO METALÚRGICO ,533,1237,1971
 URÂNIO U3O8 ,0,0,1971
 ENERGIA HIDRÁULICA ,3715,0,1971
 LENHA ,31807,0,1971
 PRODUTOS DA CANA ,3842,0,1971
 OUTRAS FONTES PRIMÁRIAS ,233,0,1971
 ENERGIA PRIMÁRIA TOTAL ,50474,21671,1971
 ÓLEO DIESEL ,0,192,1971
 ÓLEO COMBUSTIVEL ,0,411,1971
 GASOLINA ,0,90,1971
 GLP ,0,431,1971
 NAFTA ,0,0,1971
 QUEROSENE ,0,20,1971
 GÁS DE CIDADE E DE COQUERIA ,0,0,1971
 COQUE DE CARVÃO MINERAL ,0,82,1971
 URÂNIO CONTIDO NO UO2,0,0,1971
 ELETRICIDADE,0,0,1971
 CARVÃO VEGETAL ,0,0,1971
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1971
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1971
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,438,1971
 ALCATRÃO ,0,0,1971
 ENERGIA SECUNDÁRIA TOTAL ,0,1664,1971
 TOTAL  ,50474,23336,1971
 PETRÓLEO ,8161,17845,1970
 GÁS NATURAL ,1255,0,1970
 CARVÃO VAPOR ,611,0,1970
 CARVÃO METALÚRGICO ,504,1454,1970
 URÂNIO U3O8 ,0,0,1970
 ENERGIA HIDRÁULICA ,3423,0,1970
 LENHA ,31852,0,1970
 PRODUTOS DA CANA ,3601,0,1970
 OUTRAS FONTES PRIMÁRIAS ,223,0,1970
 ENERGIA PRIMÁRIA TOTAL ,49629,19299,1970
 ÓLEO DIESEL ,0,0,1970
 ÓLEO COMBUSTIVEL ,0,0,1970
 GASOLINA ,0,78,1970
 GLP ,0,415,1970
 NAFTA ,0,0,1970
 QUEROSENE ,0,8,1970
 GÁS DE CIDADE E DE COQUERIA ,0,0,1970
 COQUE DE CARVÃO MINERAL ,0,72,1970
 URÂNIO CONTIDO NO UO2,0,0,1970
 ELETRICIDADE,0,0,1970
 CARVÃO VEGETAL ,0,0,1970
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,0,1970
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,0,1970
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,369,1970
 ALCATRÃO ,0,0,1970
 ENERGIA SECUNDÁRIA TOTAL ,0,943,1970
 TOTAL  ,49629,20242,1970
