FONTE,PRODUÇÃO,IMPORTAÇÃO,ANO
 GÁS NATURAL ,39809.801385000006,9433.644,2017
 CARVÃO VAPOR ,1930.6291143033088,5452.672825312708,2017
 CARVÃO METALÚRGICO ,0,8580.45731450631,2017
 URÂNIO U3O8 ,0,5206.058866766999,2017
 ENERGIA HIDRÁULICA ,31897.955248343944,0,2017
 LENHA ,24863.568259111664,0,2017
 PRODUTOS DA CANA ,49724.977854241966,0,2017
 OUTRAS FONTES PRIMÁRIAS ,20043.600670298594,0,2017
 ENERGIA PRIMÁRIA TOTAL ,304177.12813629943,36163.85064535002,2017
 BIODIESEL ,0,0,2017
 ÓLEO DIESEL ,0,10986.035039999999,2017
 ÓLEO COMBUSTÍVEL ,0,71.88696900000001,2017
 GASOLINA ,0,3456.329681,2017
 GLP ,0,2011.872694,2017
 NAFTA ,0,8159.71245894,2017
 QUEROSENE ,0,473.30348999999995,2017
 GÁS DE CIDADE E DE COQUERIA ,0,0,2017
 COQUE DE CARVÃO MINERAL ,0,1061.358,2017
 URÂNIO CONTIDO NO UO2,0,3062.8065909332,2017
 ELETRICIDADE,0,3139.9373054,2017
 CARVÃO VEGETAL ,0,0,2017
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,974.8891827960001,2017
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,1738.3688399999999,2017
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,1135.849226,2017
 ALCATRÃO ,0,0,2017
 ENERGIA SECUNDÁRIA TOTAL ,0,36272.3494780692,2017
 TOTAL  ,304177.12813629943,72436.20012341923,2017
CONTA,PRODUÇÃO,IMPORTAÇÃO,2016
 PETRÓLEO ,130373.18801100002,8008.608267,2016
 GÁS NATURAL ,37610.4249,10320.156,2016
 CARVÃO VAPOR ,2635.923521473718,4992.04241472,2016
 CARVÃO METALÚRGICO ,0,7916.6657089599985,2016
 URÂNIO U3O8 ,0,4173.0927569384985,2016
 ENERGIA HIDRÁULICA ,32758.34104469036,0,2016
 LENHA ,23502.04883857387,0,2016
 PRODUTOS DA CANA ,50658.33184481942,0,2016
 OUTRAS FONTES PRIMÁRIAS ,18324.15120476683,0,2016
 ENERGIA PRIMÁRIA TOTAL ,295862.40936532425,35410.565147618494,2016
 BIODIESEL ,0,0,2016
 ÓLEO DIESEL ,0,7181.986752,2016
 ÓLEO COMBUSTÍVEL ,0,62.29113,2016
 GASOLINA ,0,2933.84014,2016
 GLP ,0,2110.994002,2016
 NAFTA ,0,6630.38046,2016
 QUEROSENE ,0,785.88954,2016
 GÁS DE CIDADE E DE COQUERIA ,0,0,2016
 COQUE DE CARVÃO MINERAL ,0,763.8299999999999,2016
 URÂNIO CONTIDO NO UO2,0,2180.2540672878,2016
 ELETRICIDADE,0,3552.897793744426,2016
